layer_name,layer_type,quantized,kernel_shape,weight_granularity,input_scale,input_zp,weight_scale_count,weight_scale_min,weight_scale_max,weight_zp,output_scale,output_zp,backend,op_class
conv_0,Conv,Y,"[3, 3]",per_channel,0.007874015718698502,0,16,0.03609406,0.20489924,0,0.8753657341003418,0,gemmini,standard_conv
conv_1,Conv,Y,"[3, 3]",per_channel,0.8753657341003418,0,32,0.00213559,0.01122824,0,1.4484745264053345,0,gemmini,standard_conv
conv_2,Conv,Y,"[1, 1]",per_channel,1.421657681465149,0,32,0.00170861,0.00949777,0,0.7438270449638367,0,gemmini,pointwise_conv
conv_3,Conv,Y,"[3, 3]",per_channel,0.6274879574775696,0,8,0.00056240,0.00167039,0,0.16766083240509033,0,gemmini,standard_conv
conv_4,Conv,Y,"[3, 3]",per_channel,0.0552775003015995,0,16,0.01265929,0.05717227,0,0.5332692861557007,0,gemmini,standard_conv
conv_5,Conv,Y,"[1, 1]",per_channel,0.6274879574775696,0,64,0.00107457,0.00651257,0,0.4900789260864258,0,gemmini,pointwise_conv
conv_6,Conv,Y,"[3, 3]",per_channel,0.24423748254776,0,64,0.00052800,0.00498480,0,0.16775430738925934,0,gemmini,standard_conv
conv_7,Conv,Y,"[1, 1]",per_channel,0.11904004961252213,0,64,0.00190482,0.00865034,0,0.11170779168605804,0,gemmini,pointwise_conv
conv_8,Conv,Y,"[3, 3]",per_channel,0.08009577542543411,0,16,0.00151346,0.00403711,0,0.048036832362413406,0,gemmini,standard_conv
conv_9,Conv,Y,"[3, 3]",per_channel,0.04792940244078636,0,32,0.00260728,0.00986296,0,0.07293274998664856,0,gemmini,standard_conv
conv_10,Conv,Y,"[1, 1]",per_channel,0.08009577542543411,0,128,0.00127101,0.00862575,0,0.10012836009263992,0,gemmini,pointwise_conv
conv_11,Conv,Y,"[3, 3]",per_channel,0.07332710921764374,0,128,0.00092457,0.00453548,0,0.08660384267568588,0,gemmini,standard_conv
conv_12,Conv,Y,"[1, 1]",per_channel,0.08291502296924591,0,128,0.00216176,0.01026954,0,0.13823512196540833,0,gemmini,pointwise_conv
