epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.433,0.98723,1.83001,1.21461,0.77385,0.71584,0.77972,0.57396,0.94982,0.94359,1.11248,0.0033105,0.0033105,0.0033105
2,294.506,1.01674,1.14247,1.21806,0.56477,0.45658,0.48204,0.30625,1.27925,1.6994,1.44167,0.00657806,0.00657806,0.00657806
3,456.611,1.22708,1.54314,1.37159,0.30603,0.13361,0.08134,0.04105,1.95296,4.04331,2.09039,0.00977962,0.00977962,0.00977962
4,571.519,1.43061,1.98668,1.53793,0.36381,0.27414,0.22553,0.1166,1.74996,2.56677,1.91249,0.009703,0.009703,0.009703
5,678.443,1.41023,1.93998,1.5267,0.31984,0.25448,0.1938,0.10228,1.69939,2.6242,1.90868,0.009604,0.009604,0.009604
6,781.889,1.35923,1.83362,1.49633,0.44745,0.35325,0.33153,0.18645,1.46836,2.09653,1.62075,0.009505,0.009505,0.009505
7,882.476,1.32326,1.72469,1.46868,0.48733,0.40128,0.39649,0.22706,1.45151,1.97303,1.60779,0.009406,0.009406,0.009406
8,988.012,1.29449,1.6666,1.45365,0.57537,0.39901,0.44197,0.2649,1.37397,1.7669,1.54406,0.009307,0.009307,0.009307
9,1102.57,1.27297,1.624,1.434,0.53718,0.42061,0.44309,0.27312,1.38636,1.7687,1.55294,0.009208,0.009208,0.009208
10,1226.76,1.24044,1.5529,1.41624,0.56258,0.45779,0.48952,0.30198,1.35035,1.60804,1.50728,0.009109,0.009109,0.009109
11,1328.37,1.22823,1.50589,1.39868,0.57937,0.47565,0.50217,0.31903,1.2848,1.56571,1.45579,0.00901,0.00901,0.00901
12,1453.96,1.20524,1.4652,1.38718,0.57816,0.44423,0.48686,0.29738,1.34552,1.57738,1.4877,0.008911,0.008911,0.008911
13,1559.15,1.20316,1.44859,1.37726,0.61599,0.50263,0.55247,0.35836,1.25702,1.46769,1.41804,0.008812,0.008812,0.008812
14,1669.8,1.18282,1.39897,1.35836,0.62194,0.47707,0.53464,0.35152,1.23179,1.476,1.40665,0.008713,0.008713,0.008713
15,1781.98,1.15922,1.36504,1.3508,0.65293,0.49964,0.5551,0.36438,1.23507,1.4303,1.40941,0.008614,0.008614,0.008614
16,1894.02,1.16066,1.33111,1.34289,0.68652,0.54607,0.61507,0.40847,1.19723,1.32701,1.35453,0.008515,0.008515,0.008515
17,1996.22,1.1462,1.30372,1.33018,0.70657,0.53638,0.61064,0.40811,1.18684,1.30808,1.35611,0.008416,0.008416,0.008416
18,2096.69,1.12805,1.27936,1.32571,0.66149,0.56102,0.61211,0.41275,1.19386,1.28699,1.36374,0.008317,0.008317,0.008317
19,2201.9,1.11447,1.24862,1.30501,0.69014,0.5825,0.64683,0.43471,1.18435,1.24618,1.34542,0.008218,0.008218,0.008218
20,2311.72,1.10389,1.21004,1.30044,0.71725,0.5464,0.63736,0.42998,1.15632,1.23816,1.33347,0.008119,0.008119,0.008119
21,2421.83,1.09116,1.19969,1.30021,0.71628,0.58532,0.66549,0.45319,1.14626,1.1918,1.32497,0.00802,0.00802,0.00802
22,2533.92,1.07819,1.19478,1.2932,0.69181,0.59447,0.6552,0.44798,1.13399,1.16943,1.31512,0.007921,0.007921,0.007921
23,2651.71,1.08253,1.16906,1.28872,0.73216,0.61909,0.69344,0.48525,1.11596,1.10034,1.29201,0.007822,0.007822,0.007822
24,2759.26,1.08258,1.14921,1.2891,0.75059,0.62211,0.69934,0.48797,1.10135,1.08103,1.29,0.007723,0.007723,0.007723
25,2859.24,1.06674,1.13663,1.27662,0.73815,0.6258,0.69929,0.48966,1.10545,1.08998,1.2842,0.007624,0.007624,0.007624
26,2959.05,1.05566,1.10562,1.26559,0.75435,0.61435,0.69145,0.48459,1.09938,1.07077,1.27482,0.007525,0.007525,0.007525
27,3059.5,1.05038,1.09237,1.26114,0.73762,0.62485,0.70177,0.49308,1.09509,1.05813,1.27536,0.007426,0.007426,0.007426
