epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1391.81,1.3688,1.02787,1.02439,0.6527,0.39487,0.43218,0.23687,1.32904,0.82261,0.98199,0.00333257,0.00333257,0.00333257
2,4294.72,1.35774,0.88731,1.01125,0.65996,0.40273,0.43882,0.24104,1.32535,0.81745,0.986,0.00666428,0.00666428,0.00666428
3,5503.56,1.38798,0.91491,1.02515,0.66165,0.39055,0.43056,0.23481,1.32672,0.81525,0.99256,0.00998947,0.00998947,0.00998947
4,6658.77,1.38139,0.90333,1.02488,0.6721,0.414,0.45733,0.2515,1.30664,0.77729,0.98234,0.00997803,0.00997803,0.00997803
5,7837.94,1.35285,0.86658,1.01347,0.67581,0.43381,0.47634,0.26376,1.2904,0.75417,0.97668,0.00996097,0.00996097,0.00996097
6,11467.6,1.33474,0.84227,1.00582,0.67922,0.44962,0.48512,0.27117,1.27977,0.73851,0.9707,0.00993906,0.00993906,0.00993906
7,12633.7,1.32447,0.82922,1.00134,0.68966,0.44956,0.49655,0.2805,1.27064,0.72822,0.96696,0.00991232,0.00991232,0.00991232
8,18597.2,1.31438,0.81667,0.99718,0.69281,0.46091,0.50501,0.2839,1.26646,0.71903,0.96556,0.00988079,0.00988079,0.00988079
9,19751.8,1.3096,0.81002,0.99493,0.69728,0.46237,0.5081,0.28808,1.26253,0.71331,0.96366,0.00984449,0.00984449,0.00984449
10,24512.3,1.30418,0.8033,0.99387,0.6962,0.46888,0.51275,0.29016,1.2589,0.70798,0.96239,0.00980345,0.00980345,0.00980345
11,25767.6,1.30129,0.79906,0.99165,0.6936,0.47348,0.5164,0.29246,1.25645,0.70485,0.961,0.00975773,0.00975773,0.00975773
12,27439.1,1.29765,0.79398,0.9891,0.71182,0.46928,0.51987,0.29507,1.25473,0.70194,0.96029,0.00970736,0.00970736,0.00970736
13,28480.2,1.29462,0.78975,0.98877,0.7024,0.47688,0.52142,0.29639,1.25334,0.6998,0.95964,0.00965239,0.00965239,0.00965239
14,34397.4,1.28979,0.78466,0.98732,0.70527,0.47745,0.52293,0.29713,1.252,0.69827,0.95916,0.00959289,0.00959289,0.00959289
15,35914.9,1.28928,0.78155,0.98653,0.70974,0.47684,0.52342,0.29748,1.25108,0.69676,0.95881,0.00952889,0.00952889,0.00952889
16,40208,1.28874,0.78173,0.9863,0.70889,0.47579,0.52423,0.29814,1.25013,0.69564,0.95845,0.00946048,0.00946048,0.00946048
17,41431.6,1.28467,0.77843,0.98485,0.70677,0.47763,0.52534,0.2992,1.24939,0.69445,0.95812,0.00938772,0.00938772,0.00938772
18,44447,1.28491,0.77742,0.98444,0.70996,0.47758,0.52625,0.30006,1.24881,0.69341,0.95784,0.00931067,0.00931067,0.00931067
19,46173.8,1.2827,0.77387,0.98429,0.7112,0.47807,0.52704,0.30062,1.24821,0.69255,0.95759,0.00922942,0.00922942,0.00922942
20,51116.3,1.28106,0.77296,0.98383,0.71261,0.47726,0.52705,0.30109,1.24769,0.69179,0.95744,0.00914405,0.00914405,0.00914405
21,52415,1.27912,0.77012,0.9822,0.71699,0.47709,0.52858,0.30165,1.24704,0.69109,0.95715,0.00905463,0.00905463,0.00905463
22,55613.3,1.2788,0.76857,0.98232,0.71495,0.47556,0.52926,0.30228,1.24651,0.69033,0.95693,0.00896127,0.00896127,0.00896127
23,57513.3,1.27722,0.76693,0.98162,0.71696,0.47716,0.5304,0.30278,1.246,0.68966,0.95664,0.00886404,0.00886404,0.00886404
24,59711.9,1.27516,0.76689,0.98035,0.70934,0.48165,0.53084,0.30289,1.24555,0.68874,0.95636,0.00876305,0.00876305,0.00876305
25,61189.4,1.27548,0.76391,0.98095,0.7098,0.48363,0.53187,0.30375,1.24514,0.688,0.95608,0.00865839,0.00865839,0.00865839
26,1191.87,1.27869,0.76901,0.98206,0.70803,0.48494,0.53279,0.30463,1.24559,0.68803,0.95595,0.00855018,0.00855018,0.00855018
27,1292.92,1.27585,0.76643,0.98196,0.70878,0.48545,0.53329,0.3049,1.24526,0.68746,0.95573,0.00843851,0.00843851,0.00843851
28,2600,1.28132,0.7745,0.98355,0.71419,0.48285,0.5336,0.30487,1.245,0.6869,0.95554,0.00832349,0.00832349,0.00832349
29,3718.8,1.27976,0.77217,0.98304,0.71326,0.48479,0.53486,0.30546,1.24472,0.68655,0.95545,0.00820525,0.00820525,0.00820525
30,5337.66,1.27702,0.77121,0.98201,0.71725,0.48527,0.53469,0.30566,1.24433,0.68621,0.95529,0.00808389,0.00808389,0.00808389
31,6683.54,1.27756,0.76991,0.9822,0.718,0.48411,0.53506,0.30604,1.24403,0.68579,0.9551,0.00795954,0.00795954,0.00795954
32,7846.72,1.27652,0.76933,0.98191,0.72649,0.4826,0.53647,0.30636,1.24373,0.68535,0.95491,0.00783231,0.00783231,0.00783231
33,1162.96,1.26384,0.75185,0.97671,0.7258,0.48238,0.53654,0.30671,1.2435,0.68477,0.95469,0.00770234,0.00770234,0.00770234
